"id"	"address"	"status"	"first_listed"	"bedrooms"	"bathrooms"	"summary"	"sqft"	"asking_price"	"photo_1"	"photo_2"	"photo_3"	"photo_4"	"phone"	"community"	"created_at"	"updated_at"	"hoa_id"	"users_id"
"1"	"Apt. 597 1984 Wilbur Shores, Averyshire, AZ 07144"	"2"	"14/1/2012"	"1"	"2"	"Sequi repudiandae dolore. Et quis laborum. Animi ipsam aut. Soluta id et."	"1658 sq. ft."	"$23340057"	"https://loremflickr.com/320/240/homes_for_sale?random=2"	"https://loremflickr.com/320/240/homes_for_sale?random=4"	"https://loremflickr.com/320/240/homes_for_sale?random=7"	"https://loremflickr.com/320/240/homes_for_sale?random=11"	"618.772.0573"		"27/3/2021 00:44:42.675696"	"27/3/2021 00:44:42.675696"	"5"	"5"
"2"	"767 Braun Forest, Lesleyburgh, PA 49961"	"1"	"30/12/2002"	"3"	"1"	"Et et ad. Hic a necessitatibus."	"1723 sq. ft."	"$25566942"	"https://loremflickr.com/320/240/homes_for_sale?random=4"	"https://loremflickr.com/320/240/homes_for_sale?random=6"	"https://loremflickr.com/320/240/homes_for_sale?random=9"	"https://loremflickr.com/320/240/homes_for_sale?random=13"	"361.218.3508 x0948"		"27/3/2021 00:44:43.614033"	"27/3/2021 00:44:43.614033"	"1"	"8"
"3"	"Apt. 114 77300 Von Ridges, North Mitchelport, KS 09931-3317"	"1"	"3/7/2006"	"4"	"5"	"Ut sed sunt. Aperiam ut quae. Temporibus voluptatem mollitia. Et qui qui. Perspiciatis omnis accusamus."	"2978 sq. ft."	"$10211632"	"https://loremflickr.com/320/240/homes_for_sale?random=6"	"https://loremflickr.com/320/240/homes_for_sale?random=8"	"https://loremflickr.com/320/240/homes_for_sale?random=11"	"https://loremflickr.com/320/240/homes_for_sale?random=15"	"1-738-446-8880 x09654"		"27/3/2021 00:44:44.653098"	"27/3/2021 00:44:44.653098"	"10"	"7"
"4"	"8525 Nader Flats, Wildermanshire, TN 50199"	"1"	"9/2/2016"	"3"	"5"	"Officia quia et. Quae ducimus non."	"4202 sq. ft."	"$22377271"	"https://loremflickr.com/320/240/homes_for_sale?random=8"	"https://loremflickr.com/320/240/homes_for_sale?random=10"	"https://loremflickr.com/320/240/homes_for_sale?random=13"	"https://loremflickr.com/320/240/homes_for_sale?random=17"	"(791) 572-8757 x62341"		"27/3/2021 00:44:45.549504"	"27/3/2021 00:44:45.549504"	"2"	"6"
"5"	"Apt. 842 5176 Rolfson Pines, Nevastad, AL 63745-3961"	"1"	"29/5/2012"	"3"	"3"	"Voluptas nostrum suscipit. Voluptatum error fuga. Repellat aut delectus. Qui laudantium nemo."	"5444 sq. ft."	"$3750421"	"https://loremflickr.com/320/240/homes_for_sale?random=10"	"https://loremflickr.com/320/240/homes_for_sale?random=12"	"https://loremflickr.com/320/240/homes_for_sale?random=15"	"https://loremflickr.com/320/240/homes_for_sale?random=19"	"(731) 167-3209"		"27/3/2021 00:44:46.679247"	"27/3/2021 00:44:46.679247"	"10"	"7"
"6"	"822 Prohaska Route, West Buddymouth, AK 07022-7562"	"2"	"3/5/2011"	"5"	"4"	"Nisi quod qui. Animi numquam eveniet. Molestiae sint asperiores. Saepe architecto sed."	"2968 sq. ft."	"$7684204"	"https://loremflickr.com/320/240/homes_for_sale?random=12"	"https://loremflickr.com/320/240/homes_for_sale?random=14"	"https://loremflickr.com/320/240/homes_for_sale?random=17"	"https://loremflickr.com/320/240/homes_for_sale?random=21"	"173-781-6436 x306"		"27/3/2021 00:44:47.621716"	"27/3/2021 00:44:47.621716"	"10"	"8"
"7"	"88760 Federico Overpass, South Lavonna, AK 95822"	"2"	"18/6/2007"	"1"	"1"	"Commodi amet sed. Neque nam unde."	"5475 sq. ft."	"$21752706"	"https://loremflickr.com/320/240/homes_for_sale?random=14"	"https://loremflickr.com/320/240/homes_for_sale?random=16"	"https://loremflickr.com/320/240/homes_for_sale?random=19"	"https://loremflickr.com/320/240/homes_for_sale?random=23"	"1-424-009-7068 x5867"		"27/3/2021 00:44:48.505397"	"27/3/2021 00:44:48.505397"	"1"	"8"
"8"	"987 Lynn Summit, Caspermouth, IN 01203"	"2"	"14/11/2009"	"2"	"5"	"Eos magni et. Dolor consequatur in. Ex ut ut. Voluptatem et voluptas. Est aut nostrum."	"4362 sq. ft."	"$20336271"	"https://loremflickr.com/320/240/homes_for_sale?random=16"	"https://loremflickr.com/320/240/homes_for_sale?random=18"	"https://loremflickr.com/320/240/homes_for_sale?random=21"	"https://loremflickr.com/320/240/homes_for_sale?random=25"	"1-360-901-1089 x540"		"27/3/2021 00:44:49.413113"	"27/3/2021 00:44:49.413113"	"6"	"5"
"9"	"18275 Kautzer Bridge, Lake Juleneshire, KY 53318"	"2"	"13/12/2010"	"4"	"2"	"Aspernatur quos aliquid. Eius eum voluptatem. Optio voluptatibus quibusdam. Voluptatibus itaque aut. Laborum esse quod."	"1707 sq. ft."	"$27235090"	"https://loremflickr.com/320/240/homes_for_sale?random=18"	"https://loremflickr.com/320/240/homes_for_sale?random=20"	"https://loremflickr.com/320/240/homes_for_sale?random=23"	"https://loremflickr.com/320/240/homes_for_sale?random=27"	"1-216-219-6818"		"27/3/2021 00:44:50.383702"	"27/3/2021 00:44:50.383702"	"8"	"8"
"10"	"60723 Genaro Plaza, East Karolmouth, PA 07704-6610"	"2"	"23/8/2003"	"3"	"3"	"Voluptas minima voluptatem. Ipsa odio corrupti. Et repudiandae animi. Itaque sunt perferendis."	"2262 sq. ft."	"$4025873"	"https://loremflickr.com/320/240/homes_for_sale?random=20"	"https://loremflickr.com/320/240/homes_for_sale?random=22"	"https://loremflickr.com/320/240/homes_for_sale?random=25"	"https://loremflickr.com/320/240/homes_for_sale?random=29"	"(214) 134-0071 x7400"		"27/3/2021 00:44:51.328829"	"27/3/2021 00:44:51.328829"	"1"	"6"
